iter	Passed	Remaining
131	43495	286015
132	43821	285666
133	44171	285467
134	44487	285051
135	44786	284523
136	45111	284166
137	45414	283678
138	45699	283074
139	46020	282694
140	46330	282255
141	46608	281623
142	46866	280868
143	47137	280207
144	47397	279480
145	47674	278865
146	47954	278264
147	48249	277759
148	48540	277236
149	48821	276656
150	49086	275987
151	49360	275378
152	49677	275013
153	50011	274740
154	50481	275206
155	51090	276410
156	51559	276845
157	51974	276977
158	52401	277167
159	52795	277178
160	53158	277018
161	53639	277467
162	54014	277361
163	54375	277180
164	54799	277317
165	55159	277127
166	55569	277181
167	56000	277335
168	56379	277225
169	56773	277188
170	57115	276891
171	57453	276577
172	57802	276318
173	58142	276010
174	58474	275667
175	58790	275246
176	59115	274871
177	59390	274264
178	59681	273734
179	59973	273214
180	60285	272782
181	60635	272526
182	60960	272158
183	61286	271793
184	61572	271252
185	61850	270679
186	62241	270599
187	62661	270643
188	63116	270834
189	63609	271175
190	64212	271976
191	64913	273179
192	65366	273318
193	65727	273072
194	66039	272625
195	66398	272370
196	66716	271945
197	67062	271636
198	67454	271512
199	67824	271296
200	68207	271132
201	68542	270778
202	68860	270354
203	69191	269982
204	69546	269705
205	69935	269557
206	70329	269426
207	70724	269298
208	71116	269155
209	71540	269129
210	71972	269130
211	72315	268794
212	72664	268483
213	73061	268347
214	73462	268223
215	73841	268016
216	74275	268006
217	74654	267796
218	74987	267422
219	75339	267113
220	75676	266750
221	76016	266401
222	76354	266043
223	76676	265630
224	77003	265233
225	77357	264930
226	77660	264454
227	77970	264005
228	78259	263483
229	78559	263003
230	78930	262758
231	79281	262449
232	79630	262131
233	79980	261817
234	80293	261382
235	80635	261039
236	80977	260701
237	81314	260342
238	81684	260092
239	81998	259661
240	82364	259398
241	82680	258975
242	83022	258633
243	83329	258183
244	83668	257835
245	84052	257625
246	84390	257271
247	84715	256879
248	85064	256561
249	85419	256257
250	85783	255981
251	86188	255828
252	86536	255505
253	86886	255187
254	87206	254780
255	87539	254410
256	87912	254159
257	88253	253813
258	88588	253452
259	88928	253105
260	89237	252668
261	89544	252228
262	89848	251780
263	90196	251455
264	90518	251060
265	90877	250766
266	91217	250422
267	91574	250120
268	91893	249717
269	92221	249338
270	92605	249111
271	92941	248755
272	93254	248338
273	93593	247987
274	93925	247622
275	94262	247267
276	94586	246881
277	94903	246475
278	95191	245996
279	95534	245660
280	95915	245419
281	96312	245220
282	96693	244978
283	97117	244846
284	97460	244506
285	97860	244309
286	98257	244102
287	98569	243684
288	98893	243297
289	99258	243012
290	99587	242637
291	99944	242332
292	100319	242067
293	100620	241627
294	100935	241218
295	101270	240859
296	101596	240478
297	101895	240035
298	102200	239607
299	102495	239156
300	102808	238746
301	103131	238362
302	103473	238023
303	103775	237592
304	104071	237146
305	104356	236678
306	104653	236236
307	104992	235891
308	105350	235589
309	105708	235287
310	106026	234895
311	106381	234584
312	106730	234261
313	107069	233915
314	107456	233675
315	107812	233367
316	108129	232972
317	108513	232724
318	108879	232436
319	109210	232072
320	109556	231741
321	109908	231421
322	110273	231130
323	110569	230694
324	110911	230354
325	111226	229959
326	111541	229563
327	111848	229153
328	112155	228741
329	112446	228299
330	112757	227899
331	113141	227647
332	113585	227512
333	113941	227200
334	114298	226890
335	114624	226519
336	114947	226143
337	115275	225776
338	115644	225489
339	115973	225124
340	116307	224771
341	116632	224398
342	116934	223983
343	117247	223587
344	117621	223310
345	118002	223044
346	118408	222826
347	118813	222604
348	119198	222344
349	119578	222074
350	119970	221825
351	120337	221529
352	120663	221158
353	120989	220789
354	121317	220422
355	121647	220059
356	122026	219784
357	122427	219548
358	122810	219279
359	123153	218939
360	123490	218587
361	123860	218296
362	124207	217961
363	124553	217627
364	124902	217296
365	125250	216963
366	125580	216600
367	125892	216206
368	126215	215831
369	126554	215485
370	126870	215099
371	127181	214703
372	127491	214309
373	127828	213958
374	128262	213770
375	128684	213562
376	129048	213255
377	129409	212943
378	129728	212562
379	130030	212154
380	130383	211830
381	130769	211559
382	131117	211226
383	131441	210853
384	131523	210096
385	131882	209781
386	132212	209422
387	132511	209013
388	132814	208610
389	133173	208296
390	133483	207907
391	133791	207513
392	134093	207111
393	134436	206772
394	134765	206413
395	135073	206021
396	135361	205599
397	135664	205201
398	136176	205117
399	136473	204710
400	136756	204282
401	137061	203886
402	137355	203476
403	137619	203023
404	137899	202592
405	138165	202144
406	138450	201722
407	138732	201298
408	139064	200946
409	139380	200572
410	139689	200187
411	139976	199772
412	140284	199387
413	140613	199032
414	140942	198678
415	141300	198363
416	141631	198012
417	141949	197643
418	142357	197397
419	142708	197073
420	143057	196746
421	143502	196551
422	143823	196184
423	144141	195814
424	144416	195386
425	144697	194968
426	144976	194546
427	145250	194119
428	145535	193708
429	145818	193294
430	146084	192858
431	146342	192413
432	146627	192003
433	146903	191583
434	147201	191192
435	147549	190867
436	147931	190583
437	148264	190238
438	148562	189848
439	149096	189759
440	149516	189523
441	149850	189178
442	150189	188839
443	150474	188432
444	150761	188028
445	151045	187621
446	151349	187240
447	151657	186863
448	151953	186473
449	152244	186076
450	152538	185683
451	152839	185300
452	153127	184902
453	153406	184492
454	153707	184110
455	154025	183749
456	154288	183323
457	154550	182895
458	154812	182470
459	155079	182049
460	155370	181659
461	155680	181290
462	155993	180925
463	156284	180536
464	156571	180141
465	156840	179727
466	157125	179331
467	157402	178927
468	157718	178568
469	158003	178174
470	158296	177789
471	158610	177428
472	158915	177058
473	159202	176667
474	159504	176294
475	159791	175905
476	160065	175501
477	160339	175099
478	160626	174711
479	160920	174330
480	161206	173942
481	161475	173535
482	161746	173131
483	162001	172712
484	162287	172326
485	162589	171957
486	162871	171567
487	163169	171193
488	163485	170840
489	163841	170529
490	164152	170170
491	164446	169793
492	164739	169417
493	165072	169081
494	165384	168726
495	165659	168331
496	165940	167944
497	166219	167554
498	166492	167159
499	166766	166766
500	167034	166367
501	167314	165981
502	167604	165605
503	167904	165239
504	168198	164868
505	168498	164502
506	168768	164108
507	169062	163737
508	169339	163351
509	169618	162966
510	169892	162578
511	170163	162187
512	170419	161782
513	170735	161434
514	171037	161074
515	171365	160738
516	171659	160370
517	171986	160033
518	172284	159670
519	172565	159291
520	172873	158937
521	173219	158619
522	173574	158308
523	173941	158008
524	174273	157675
525	174587	157328
526	174955	157028
527	175353	156755
528	175854	156573
529	176239	156288
530	176581	155963
531	176939	155653
532	177266	155315
533	177666	155042
534	178001	154711
535	178297	154347
536	178593	153983
537	178861	153595
538	179150	153224
539	179505	152911
540	179909	152640
541	180245	152310
542	180552	151956
543	180853	151597
544	181174	151256
545	181494	150913
546	181830	150583
547	182177	150263
548	182512	149932
549	182818	149578
550	183143	149240
551	183458	148893
552	183776	148549
553	184099	148210
554	184451	147893
555	184803	147576
556	185124	147235
557	185470	146914
558	185784	146567
559	186094	146217
560	186371	145841
561	186630	145452
562	186908	145077
563	187227	144736
564	187543	144392
565	187884	144067
566	188250	143760
567	188557	143409
568	188899	143085
569	189176	142712
570	189475	142355
571	189787	142009
572	190082	141649
573	190376	141290
574	190674	140933
575	190960	140568
576	191250	140205
577	191549	139850
578	191874	139514
579	192155	139146
580	192434	138778
581	192717	138412
582	192985	138036
583	193271	137672
584	193548	137303
585	193839	136944
586	194122	136580
587	194394	136208
588	194664	135835
589	194926	135457
590	195215	135098
591	195566	134782
592	195941	134482
593	196352	134207
594	196668	133867
595	196942	133497
596	197243	133147
597	197541	132795
598	197890	132477
599	198208	132138
600	198502	131784
601	198800	131433
602	199117	131093
603	199425	130749
604	199735	130405
605	200058	130070
606	200368	129727
607	200670	129379
608	201056	129085
609	201393	128759
610	201715	128424
611	202017	128076
612	202297	127714
613	202667	127409
614	202954	127053
615	203273	126715
616	203608	126388
617	203938	126058
618	204227	125704
619	204528	125356
620	204853	125023
621	205186	124695
622	205490	124349
623	205841	124032
624	206192	123715
625	206517	123382
626	206837	123047
627	207155	122710
628	207468	122369
629	207770	122023
630	208067	121675
631	208348	121316
632	208633	120961
633	208918	120605
634	209197	120247
635	209507	119907
636	209812	119563
637	210097	119209
638	210368	118846
639	210661	118496
640	210936	118137
641	211254	117802
642	211579	117471
643	211898	117136
644	212195	116789
645	212485	116439
646	212798	116102
647	213112	115764
648	213415	115421
649	213745	115093
650	214065	114759
651	214367	114417
652	214671	114075
653	214966	113728
654	215255	113378
655	215547	113030
656	215823	112674
657	216097	112317
658	216372	111962
659	216640	111602
660	216913	111246
661	217209	110901
662	217520	110564
663	217824	110224
664	218129	109884
665	218428	109542
666	219027	109349
667	219459	109072
668	219805	108752
669	220129	108422
670	220407	108068
671	220688	107717
672	220969	107365
673	221247	107012
674	221571	106682
675	221901	106355
676	222190	106008
677	222457	105651
678	222747	105304
679	223043	104961
680	223338	104618
681	223669	104291
682	223940	103937
683	224213	103584
684	224488	103231
685	224798	102896
686	225082	102548
687	225378	102206
688	225651	101854
689	225932	101506
690	226206	101154
691	226480	100803
692	226760	100455
693	227032	100103
694	227301	99751
695	227588	99406
696	227877	99062
697	228167	98720
698	228573	98427
699	228915	98106
700	229216	97768
701	229496	97421
702	229783	97077
703	230061	96730
704	230421	96417
705	230756	96094
706	231093	95771
707	231500	95477
708	231800	95139
709	232095	94799
710	232396	94462
711	232761	94150
712	233110	93832
713	233424	93500
714	233793	93190
715	234148	92874
716	234501	92557
717	234853	92240
718	235369	91987
719	235721	91669
720	236131	91374
721	236468	91050
722	236794	90722
723	237193	90421
724	237567	90111
725	237878	89777
726	238227	89458
727	238549	89128
728	238903	88810
729	239266	88495
730	239689	88203
731	240062	87891
732	240446	87584
733	240808	87268
734	241124	86936
735	241505	86626
736	241936	86335
737	242368	86044
738	242793	85749
739	243133	85425
740	243441	85089
741	243758	84757
742	244140	84447
743	244482	84123
744	244838	83803
745	245224	83494
746	245553	83165
747	245925	82852
748	246282	82532
749	246598	82199
750	246906	81863
751	247219	81529
752	247542	81199
753	247882	80874
754	248219	80548
755	248604	80237
756	248936	79909
757	249277	79584
758	249617	79259
759	249943	78929
760	250323	78616
761	250797	78333
762	251155	78012
763	251506	77690
764	251849	77365
765	252195	77041
766	252593	76732
767	252951	76412
768	253491	76146
769	253909	75843
770	254239	75513
771	254558	75180
772	254856	74841
773	255168	74506
774	255490	74174
775	255807	73841
776	256136	73511
777	256434	73172
778	256748	72838
779	257115	72519
780	257470	72197
781	257922	71901
782	258284	71580
783	258633	71256
784	259069	70955
785	259466	70643
786	259882	70336
787	260225	70009
788	260723	69724
789	261234	69441
790	261654	69134
791	262004	68809
792	262366	68486
793	262734	68165
794	263093	67841
795	263440	67514
796	263788	67188
797	264174	66871
798	264489	66536
799	264802	66200
800	265135	65870
801	265434	65531
802	265726	65190
803	266052	64858
804	266391	64529
805	266731	64200
806	267051	63867
807	267441	63550
808	267794	63224
809	268130	62894
810	268635	62604
811	269266	62342
812	269761	62048
813	270174	61735
814	270541	61411
815	270992	61106
816	271414	60794
817	271783	60470
818	272245	60166
819	272697	59860
820	273063	59535
821	273447	59213
822	273799	58885
823	274126	58551
824	274453	58217
825	274788	57885
826	275097	57547
827	275450	57219
828	275882	56906
829	276415	56615
830	276811	56295
831	277237	55980
832	277645	55662
833	277999	55333
834	278378	55008
835	278823	54697
836	279343	54400
837	279730	54076
838	280125	53754
839	280516	53431
840	280878	53103
841	281194	52765
842	281547	52435
843	281878	52100
844	282237	51771
845	282627	51447
846	282930	51107
847	283223	50766
848	283511	50424
849	283843	50089
850	284148	49750
851	284451	49411
852	284770	49075
853	285097	48740
854	285414	48403
855	285742	48068
856	286043	47729
857	286331	47388
858	286628	47048
859	286950	46712
860	287321	46385
861	287648	46050
862	287943	45710
863	288447	45403
864	288793	45071
865	289104	44734
866	289410	44396
867	289714	44058
868	290014	43719
869	290304	43378
870	290585	43037
871	290899	42700
872	291359	42385
873	291739	42058
874	292086	41726
875	292409	41391
876	292727	41055
