iter	MultiClass
0	2.281492273
1	2.258086767
2	2.2253136
3	2.193305313
4	2.175500801
5	2.143944236
6	2.114520632
7	2.086623666
8	2.050575453
9	2.021773275
10	1.999713672
11	1.961276436
12	1.92953677
13	1.900339224
14	1.864793215
15	1.850834498
16	1.829951585
17	1.801779101
18	1.784752655
19	1.767014735
20	1.727184711
21	1.710110931
22	1.691604999
23	1.667505288
24	1.649520236
25	1.624757537
26	1.6080716
27	1.582236027
28	1.555536748
29	1.527751164
30	1.504679696
31	1.485799231
32	1.457478972
33	1.433887766
34	1.407889242
35	1.390158609
36	1.368703583
37	1.337863278
38	1.320840955
39	1.302535994
40	1.287100368
41	1.273354489
42	1.253869622
43	1.241798491
44	1.228292353
45	1.21393623
46	1.199690187
47	1.186642866
48	1.171904266
49	1.157138663
50	1.137666521
51	1.122350911
52	1.108235819
53	1.094704805
54	1.081753681
55	1.07041116
56	1.057122255
57	1.04365554
58	1.027878969
59	1.011831183
60	0.999653488
61	0.9845534151
62	0.9710114173
63	0.9614630903
64	0.9502539515
65	0.9355527801
66	0.9238146541
67	0.9114784769
68	0.8998177
69	0.885234887
70	0.8719190118
71	0.8565712454
72	0.8455734314
73	0.8281737661
74	0.8162255754
75	0.8050133309
76	0.7938105467
77	0.7828629683
78	0.7700569786
79	0.7590759682
80	0.7461104746
81	0.733280121
82	0.7249747087
83	0.7118405596
84	0.6993715213
85	0.69014632
86	0.6774217482
87	0.6660700172
88	0.656760725
89	0.6446929321
90	0.6349269071
91	0.6264331805
92	0.6170645522
93	0.607972171
94	0.5967998465
95	0.5869620847
96	0.5796589922
97	0.5706280515
98	0.5615995649
99	0.5540930273
100	0.5449506041
101	0.5359089806
102	0.5282498593
103	0.5242249881
104	0.5174145512
105	0.5091327872
106	0.500618258
107	0.4919726055
108	0.4853103848
109	0.4777572701
110	0.4701482392
111	0.462907857
112	0.4574146213
113	0.4506590979
114	0.4457636491
115	0.4384161601
116	0.4322651478
117	0.4258024438
118	0.4199912647
119	0.4148989589
120	0.4106685074
121	0.4049662655
122	0.3997905347
123	0.3946788412
124	0.3893073938
125	0.3858284671
126	0.3796549971
127	0.3749479308
128	0.371120025
129	0.3664713585
130	0.3623436474
131	0.3580344158
132	0.3539107886
133	0.3487067456
134	0.3444236249
135	0.3422207804
136	0.3383375867
137	0.3335853532
138	0.3299712438
139	0.3267273933
140	0.3244699254
141	0.3202379536
142	0.3159658912
143	0.3127907736
144	0.3094816749
145	0.3065268223
146	0.3032533127
147	0.3008548457
148	0.2998298793
149	0.2968552523
150	0.293656553
151	0.2897977118
152	0.2870671997
153	0.2841260683
154	0.2814352795
155	0.2782411105
156	0.2761389442
157	0.2733054023
158	0.270338987
159	0.2684968073
160	0.2654275251
161	0.2631905005
162	0.2607272296
163	0.2582566332
164	0.2560846552
165	0.2541593678
166	0.2517038429
167	0.249514893
168	0.2473415927
169	0.2444484179
170	0.2421961514
171	0.2406266908
172	0.2374903173
173	0.2351529856
174	0.2324024982
175	0.2308267493
176	0.2286333704
177	0.2264670062
178	0.2250046678
179	0.2242675585
180	0.2222337449
181	0.2203820895
182	0.2183205504
183	0.2165418195
184	0.2147160355
185	0.2131562543
186	0.2118685942
187	0.2094330206
188	0.2077355302
189	0.2060915734
190	0.2046788062
191	0.2032125836
192	0.2021386705
193	0.2007333995
194	0.1988568794
195	0.1968280189
196	0.195252805
197	0.1941591039
198	0.1924839726
199	0.191397447
200	0.190008375
201	0.1895765088
202	0.1884416613
203	0.1868056053
204	0.1856134577
205	0.1848398815
206	0.1835699059
207	0.1821257172
208	0.1805576175
209	0.1792611002
210	0.1779548225
211	0.1765116365
212	0.1749012954
213	0.1742845433
214	0.173013912
215	0.1727040219
216	0.1712433287
217	0.1705687001
218	0.1694088234
219	0.1679975904
220	0.1668599799
221	0.1656436059
222	0.1645518921
223	0.1643464389
224	0.1641555303
225	0.1628169675
226	0.1615193992
227	0.1602183531
228	0.1589297779
229	0.1583041536
230	0.1575219312
231	0.1560967627
232	0.1558612117
233	0.1550038954
234	0.1543656921
235	0.1541308317
236	0.1530346008
237	0.1519267308
238	0.1509785205
239	0.1508286526
240	0.1500148516
241	0.1491110229
242	0.1479092921
243	0.1468405899
244	0.1462918442
245	0.1453231302
246	0.1442198645
247	0.1436689664
248	0.1426076305
249	0.1417938816
250	0.1409228709
251	0.1400508521
252	0.1392137742
253	0.1383425084
254	0.1377494113
255	0.1369582895
256	0.1359872252
257	0.1355250361
258	0.1344215354
259	0.1336169231
260	0.1326971079
261	0.1319387853
262	0.1314630618
263	0.1303638704
264	0.1301823407
265	0.1295823346
266	0.1289827333
267	0.128380265
268	0.1274951469
269	0.1266483148
270	0.1261149859
271	0.1256581496
272	0.1251218118
273	0.1240774507
274	0.1237471611
275	0.1229335301
276	0.1227855462
277	0.1221651411
278	0.1213275075
279	0.1207212794
280	0.1202062908
281	0.1195144507
282	0.1194117662
283	0.1192625389
284	0.1190663442
285	0.1182219822
286	0.1180611443
287	0.1175653288
288	0.1168379112
289	0.116705389
290	0.1162463711
291	0.1157969751
292	0.1156776358
293	0.1151780162
294	0.1146330698
295	0.1139769401
296	0.1138704943
297	0.1132178295
298	0.1127515657
299	0.1123907252
300	0.1120973774
301	0.1117044607
302	0.1111017608
303	0.1108426579
304	0.1101012919
305	0.1097515253
306	0.1092586488
307	0.1091247339
308	0.1086379684
309	0.1084981755
310	0.1083556718
311	0.1077291887
312	0.1071992065
313	0.1069634224
314	0.1064727405
315	0.1062612743
316	0.1059389923
317	0.1058337398
318	0.1052864627
319	0.1047086346
320	0.1041927364
321	0.1036331353
322	0.1031130236
323	0.1026738963
324	0.1023964196
325	0.1018022159
326	0.1011322163
327	0.1006642533
328	0.1001489194
